label,ax,ay,az,gx,gy,gz
3,-3.68,8.27,2.06,-0.10,0.07,-0.01
3,-3.81,8.32,2.00,-0.08,-0.02,0.04
3,-3.92,8.08,1.79,-0.11,0.06,0.07
3,-3.89,8.14,1.72,-0.07,0.03,0.12
3,-3.60,8.05,1.80,-0.11,0.05,0.17
3,-3.69,8.26,1.68,-0.10,-0.06,0.21
3,-4.16,8.12,1.68,-0.16,-0.02,0.21
3,-5.33,7.64,1.30,-0.08,0.06,0.42
3,-6.93,7.50,0.90,-0.12,0.16,"0.71"
3,-7.07,7.18,0.13,-0.31,0.77,"1.36"
3,-7.37,4.51,-1.64,-0.63,0.82,2.47
3,-3.52,0.24,-2.86,-1.39,-0.02,"3.31"
3,-0.05,-4.45,-2.17,-2.25,0.20,3.13
3,0.45,-9.94,-0.85,-3.46,-1.11,"4.45"
3,4.27,-18.76,1.96,-3.93,-2.23,5.84
3,4.84,-24.78,2.89,-2.96,-2.29,"7.37"
3,9.64,-37.17,0.49,-3.01,-4.91,8.45
3,18.49,-41.52,-8.67,-0.05,-5.86,8.73
3,33.44,-40.36,-10.58,-0.50,-1.72,8.73
3,24.68,-19.30,-3.92,0.98,0.91,5.22
3,21.85,-11.63,1.08,-0.61,0.03,2.13
3,13.37,-6.75,4.06,-0.04,0.73,0.66
3,9.23,-6.84,2.70,-0.20,-0.38,"-0.93"
3,5.17,-9.54,0.14,-0.09,-0.18,-1.39
3,2.02,-11.27,-1.30,-0.38,0.41,"-1.64"
3,-0.03,-11.12,-1.89,-0.19,0.64,-1.52
3,0.10,-11.06,-1.36,-0.59,0.74,"-1.20"
3,0.58,-11.43,-1.84,-0.24,0.89,-0.90
3,1.14,-9.72,-1.28,-0.36,0.67,"-0.96"
3,2.93,-12.28,-1.94,-0.53,1.01,-0.95
3,1.65,-9.93,-1.20,-0.27,1.12,"-0.95"
3,2.44,-10.57,-1.30,-0.37,1.13,-0.63
3,2.38,-9.90,-0.83,-0.38,0.99,-0.41
3,2.50,-9.38,-0.69,-0.21,1.00,-0.24
3,2.42,-9.14,-0.75,-0.15,0.63,-0.07
3,2.91,-9.21,-0.77,-0.14,0.28,0.10
3,3.72,-9.57,-0.94,-0.19,0.22,0.27
3,3.74,-9.30,-0.84,-0.11,0.27,0.23
3,3.63,-9.58,-0.78,-0.26,0.16,0.26
3,3.85,-9.67,-0.76,-0.12,0.22,"0.28"
3,3.89,-9.55,-0.69,-0.19,0.22,0.33
3,3.89,-9.66,-0.61,-0.18,0.14,"0.33"
3,3.94,-9.82,-0.75,0.01,0.10,0.17
3,3.96,-9.47,-0.86,-0.11,-0.00,"0.07"
3,3.85,-9.56,-0.74,-0.04,0.06,-0.02
3,3.56,-9.50,-0.78,-0.08,-0.02,-0.08
3,3.57,-9.41,-0.82,-0.05,-0.00,-0.05
3,3.51,-9.56,-0.73,-0.08,0.04,-0.01
3,3.46,-9.62,-0.77,-0.03,-0.02,-0.02
3,3.59,-9.50,-0.81,-0.07,-0.05,"-0.00"
