label,ax,ay,az,gx,gy,gz
3,-3.02,8.07,2.38,0.10,-0.14,-0.06
3,-2.93,8.44,1.72,0.08,-0.23,-0.02
3,-2.96,8.53,1.56,0.01,-0.18,-0.02
3,-2.96,8.57,1.85,-0.16,-0.24,0.02
3,-2.91,8.43,2.05,-0.26,-0.19,0.01
3,-2.42,7.94,2.19,-0.32,-0.08,-0.11
3,-3.36,8.21,1.57,-0.26,-0.30,"-0.09"
3,-2.73,7.68,-1.08,-0.35,-0.42,-0.03
3,-2.65,7.09,-2.95,-1.05,-0.59,0.02
3,-2.20,4.19,-3.72,-1.92,-0.96,0.24
3,-2.15,0.81,-4.18,-3.00,-1.85,1.19
3,-0.05,-5.13,-0.34,-3.93,-1.99,1.38
3,1.57,-10.55,4.07,-4.32,-0.79,"2.17"
3,2.30,-16.24,4.90,-4.67,-1.43,2.86
3,5.99,-23.17,2.90,-5.92,-2.40,3.83
3,11.00,-27.55,10.11,-6.91,-1.93,3.91
3,11.19,-28.38,17.93,-6.31,-2.56,4.59
3,13.87,-23.86,19.78,-4.87,-2.29,3.91
3,13.64,-13.18,19.23,-2.16,-0.73,1.62
3,7.76,-7.76,12.42,-0.20,-1.16,"-0.08"
3,5.19,-6.46,6.18,0.55,-0.17,"-0.37"
3,2.19,-9.81,2.54,0.78,-0.27,-0.46
3,1.66,-10.00,0.84,0.57,0.38,-0.70
3,-0.27,-10.04,1.18,0.41,-0.13,"-0.45"
3,1.26,-9.95,1.29,0.39,-0.18,-0.35
3,0.74,-9.79,1.72,0.15,0.10,"-0.46"
3,1.29,-9.61,1.91,0.08,0.16,-0.31
3,0.70,-9.79,2.24,0.04,0.24,"-0.25"
3,1.36,-9.99,2.40,-0.04,0.28,-0.05
3,1.06,-9.61,2.55,0.01,0.18,-0.05
3,1.52,-9.48,2.28,0.07,0.07,"-0.00"
3,1.85,-9.31,2.20,0.00,0.03,"0.05"
3,1.69,-9.50,2.41,-0.07,0.20,0.03
3,1.60,-9.45,2.57,-0.05,-0.08,0.08
3,2.09,-9.53,2.55,-0.02,-0.06,0.06
3,2.11,-9.46,2.73,-0.13,0.04,0.07
3,1.91,-9.24,2.74,-0.16,0.19,"0.04"
3,1.16,-9.34,2.76,-0.09,-0.07,"0.08"
3,1.93,-9.40,2.37,0.00,-0.37,0.11
3,1.85,-9.52,2.33,0.08,-0.27,"-0.06"
3,1.75,-9.54,2.25,-0.00,-0.36,-0.12
3,1.03,-9.27,2.36,-0.15,-0.78,-0.02
3,2.87,-9.96,2.02,-0.16,-1.14,0.07
3,3.02,-9.55,1.89,-0.02,-0.12,-0.13
3,2.54,-9.66,2.07,-0.16,0.25,"-0.08"
3,2.24,-9.55,2.27,-0.02,0.35,-0.28
3,2.34,-9.49,2.25,-0.03,0.16,-0.16
3,2.30,-9.54,2.28,-0.00,0.04,-0.18
3,2.51,-9.33,2.22,0.01,-0.08,"-0.15"
3,2.04,-9.27,2.25,0.03,-0.32,"-0.10"
