label,ax,ay,az,gx,gy,gz
4,2.99,-8.62,4.62,0.25,0.03,-0.06
4,3.20,-8.06,4.66,0.30,0.04,"-0.15"
4,3.06,-8.10,4.76,0.16,0.17,-0.08
4,3.12,-8.27,4.92,0.11,0.14,-0.07
4,3.00,-8.03,4.69,0.20,0.02,-0.04
4,3.11,-7.83,5.05,0.14,0.10,"-0.11"
4,1.73,-7.62,6.77,0.20,-0.01,-0.04
4,3.85,-7.29,7.57,0.37,-0.16,0.11
4,3.65,-7.40,9.54,0.33,0.66,"-0.09"
4,3.41,-6.08,12.24,0.96,0.34,-0.06
4,5.25,-7.27,14.00,1.61,-0.07,"-0.01"
4,5.86,-9.21,15.62,2.25,0.81,-0.57
4,6.15,-10.29,17.43,2.90,0.99,-0.90
4,4.72,-11.19,17.94,3.42,1.39,-0.87
4,4.20,-13.30,17.08,4.16,1.65,-0.68
4,4.73,-11.43,15.65,4.25,2.06,-0.52
4,3.66,-12.11,12.58,4.72,1.99,-0.04
4,6.05,-9.80,4.81,5.00,0.87,-0.21
4,4.45,-6.87,-1.92,4.66,0.98,"-1.10"
4,0.29,-0.91,-5.66,3.52,1.22,-1.27
4,-3.63,0.83,-6.26,2.69,1.09,"-0.84"
4,-3.95,4.15,-9.33,2.60,-1.08,-0.08
4,-2.56,6.00,-9.64,1.25,0.01,-0.38
4,-4.60,5.83,-6.77,0.32,0.22,-0.57
4,-4.85,7.51,-5.13,0.01,-0.39,-0.30
4,-3.77,7.92,-3.47,-0.56,0.80,-0.49
4,-6.51,7.12,-2.11,-0.33,0.01,"-0.70"
4,-6.24,8.90,-1.58,-0.50,-0.38,"-0.05"
4,-4.86,7.83,0.22,-0.59,-0.44,0.24
4,-3.90,8.66,1.17,-0.75,-0.30,"0.34"
4,-3.05,8.18,2.38,-0.56,0.30,-0.16
4,-5.35,8.56,2.17,-0.33,-0.03,-0.15
4,-4.50,8.05,1.75,-0.02,-0.33,-0.08
4,-5.06,8.11,1.29,0.03,-0.31,"-0.01"
4,-4.86,7.75,0.61,0.16,-0.52,0.09
4,-4.90,7.53,0.02,0.09,-0.60,0.21
4,-3.25,8.49,0.40,-0.24,-0.83,0.25
4,-3.73,7.76,1.39,-0.42,0.16,-0.23
4,-5.36,7.70,1.82,-0.34,0.31,-0.26
4,-5.14,7.90,2.05,-0.27,-0.07,"0.02"
4,-4.49,7.99,2.15,-0.07,-0.01,0.07
4,-4.77,7.98,2.04,-0.14,-0.05,0.05
4,-4.18,8.00,1.99,-0.12,0.03,0.09
4,-4.53,7.95,1.76,-0.09,-0.05,0.08
4,-3.86,7.81,1.62,-0.07,-0.03,0.04
4,-4.47,7.77,1.57,-0.13,0.02,-0.01
4,-4.27,7.82,1.72,-0.19,-0.02,-0.01
4,-4.68,7.87,1.87,-0.20,0.06,-0.01
4,-4.61,7.67,1.87,-0.20,-0.01,0.04
4,-4.42,7.80,1.71,-0.18,0.01,"0.07"
