label,ax,ay,az,gx,gy,gz
1,3.23,-4.00,8.29,-0.08,-0.09,-0.03
1,3.32,-4.11,8.46,-0.07,0.10,"0.02"
1,3.37,-4.08,8.31,-0.04,-0.01,-0.01
1,3.41,-3.95,8.06,-0.00,0.26,"-0.05"
1,3.29,-3.69,8.09,-0.16,-0.03,-0.09
1,2.66,-3.65,8.77,-0.11,0.14,-0.08
1,2.57,-3.38,9.83,-0.03,-0.08,"-0.14"
1,1.19,-3.18,11.64,0.40,0.29,-0.03
1,-1.86,-3.62,13.22,0.77,0.00,"0.51"
1,-2.56,-5.58,13.61,1.30,0.37,1.05
1,-5.32,-6.92,13.16,1.76,0.39,1.68
1,-3.50,-7.45,10.61,1.85,0.41,2.21
1,-3.51,-9.87,9.99,1.44,0.57,3.14
1,-5.32,-13.21,10.39,0.73,0.02,"3.97"
1,-2.87,-16.95,9.13,0.38,-0.08,"4.40"
1,-6.47,-20.65,7.21,0.94,-1.33,5.45
1,4.39,-21.54,2.14,1.57,-0.95,6.08
1,11.06,-16.57,0.69,1.35,0.75,5.69
1,15.36,-10.25,2.10,0.68,1.47,4.63
1,18.13,-2.10,6.44,-0.63,2.00,3.61
1,16.66,-0.33,9.53,-0.79,0.02,1.94
1,13.06,-0.46,9.19,-0.58,-0.53,0.28
1,6.19,0.23,10.12,-0.36,0.02,-0.62
1,2.30,-0.52,10.84,-0.47,0.39,-0.63
1,1.46,-1.17,10.24,-0.39,0.19,-0.51
1,-0.65,-1.50,10.33,-0.36,0.38,-0.63
1,0.42,-1.61,10.16,-0.24,0.27,-0.57
1,-0.20,-1.85,10.05,-0.28,0.32,-0.32
1,0.12,-1.75,9.43,-0.06,0.13,-0.35
1,0.87,-1.92,9.03,-0.44,-0.04,-0.28
1,0.27,-1.82,8.59,-0.33,-0.12,-0.31
1,-0.00,-2.49,9.30,-0.29,-0.04,-0.65
1,-1.13,-2.33,9.27,-0.13,-0.14,-0.38
1,0.17,-2.91,9.40,-0.25,0.50,"-0.06"
1,-0.10,-2.64,9.59,-0.10,0.40,-0.07
1,0.13,-2.51,9.84,-0.09,0.31,-0.27
1,0.30,-2.45,9.14,0.17,-0.17,-0.34
1,0.26,-2.17,8.70,0.06,0.15,-0.24
1,-0.35,-2.34,9.13,-0.02,0.00,"-0.29"
1,-0.15,-2.00,9.23,-0.01,-0.05,"-0.22"
1,-0.23,-2.02,8.83,-0.03,-0.04,-0.15
1,-0.57,-2.65,9.08,-0.11,0.07,-0.06
1,0.26,-2.21,8.99,-0.15,0.02,0.00
1,-0.11,-2.43,9.38,-0.18,0.09,0.01
1,0.32,-2.58,9.34,-0.13,-0.04,0.00
1,0.06,-2.33,9.18,-0.10,-0.00,-0.00
1,-0.01,-2.67,9.31,-0.13,-0.01,-0.02
1,-0.02,-2.35,9.23,-0.06,-0.01,0.04
1,0.29,-2.58,9.25,-0.08,0.02,0.04
1,0.44,-2.54,9.19,-0.11,-0.04,"0.04"
