label,ax,ay,az,gx,gy,gz
1,1.73,-3.33,9.39,-0.05,-0.01,-0.00
1,1.45,-3.27,9.28,-0.01,-0.13,"-0.06"
1,1.55,-3.04,8.90,0.02,-0.03,"-0.04"
1,1.29,-3.18,8.90,-0.01,0.03,-0.07
1,1.32,-2.93,8.65,-0.04,-0.06,-0.04
1,0.93,-3.01,8.93,-0.03,-0.03,"-0.00"
1,0.51,-3.12,9.55,0.01,-0.25,"0.06"
1,0.47,-3.19,9.94,0.13,-0.67,"0.17"
1,-0.40,-3.22,10.49,0.32,-1.02,0.25
1,-1.55,-3.45,11.51,0.34,-0.94,"0.49"
1,-2.12,-4.89,12.51,0.74,-0.85,1.21
1,-0.70,-4.90,10.70,1.36,-1.61,1.48
1,0.16,-5.61,9.79,1.62,-1.83,"1.57"
1,-0.54,-7.47,10.09,1.97,-1.64,"1.88"
1,-0.17,-9.76,11.94,1.81,-0.77,2.38
1,-2.09,-13.19,13.27,2.40,-0.02,3.01
1,-1.42,-17.25,11.02,2.97,-0.12,3.99
1,1.58,-21.35,5.78,3.37,-0.93,4.57
1,6.87,-20.43,0.96,2.83,0.90,"4.97"
1,7.79,-19.69,0.41,1.32,1.86,"4.89"
1,14.06,-17.36,0.67,1.06,-0.15,5.10
1,21.97,-9.59,0.29,1.09,0.08,"4.27"
1,19.98,-3.78,1.35,0.21,-1.06,2.68
1,19.14,-0.71,1.84,-0.05,-0.89,"1.21"
1,17.68,-1.87,3.98,-0.37,-0.15,0.17
1,11.87,-0.13,6.71,-0.66,0.42,-1.64
1,7.79,-2.94,8.68,-0.89,-0.03,-1.48
1,4.48,-2.87,8.79,-0.63,0.18,-1.05
1,5.52,-3.13,8.19,-0.39,0.12,-0.83
1,4.99,-2.55,7.98,-0.51,0.46,"-0.74"
1,3.72,-3.09,8.64,-0.49,0.37,"-0.68"
1,4.62,-2.88,8.54,-0.36,0.52,-0.61
1,3.16,-2.78,8.58,-0.34,0.46,"-0.55"
1,3.33,-2.70,8.56,-0.26,0.29,-0.28
1,2.98,-2.60,8.30,-0.24,0.12,"-0.22"
1,3.65,-2.55,8.34,-0.30,0.29,-0.18
1,3.75,-2.56,8.54,-0.23,0.26,-0.16
1,3.04,-2.63,8.59,-0.20,0.08,-0.12
1,3.81,-2.68,8.58,-0.19,0.23,-0.00
1,3.79,-2.76,8.63,-0.14,0.07,0.09
1,4.36,-2.72,8.41,-0.13,0.07,0.13
1,4.13,-2.78,8.45,-0.09,0.04,"0.04"
1,4.61,-2.81,8.42,-0.12,-0.05,0.05
1,4.04,-2.77,8.63,-0.11,0.02,-0.02
1,4.42,-2.87,8.38,-0.06,0.07,0.00
1,4.32,-2.76,8.08,-0.12,0.04,-0.01
1,4.18,-2.83,7.89,-0.09,0.11,-0.06
1,4.43,-2.90,8.03,-0.22,0.13,-0.02
1,3.87,-2.94,8.50,-0.15,0.15,-0.00
1,4.63,-2.78,8.54,-0.14,0.04,"-0.02"
