label,ax,ay,az,gx,gy,gz
1,8.44,-0.56,5.86,-0.06,0.11,-0.00
1,8.08,-0.53,5.82,-0.05,0.00,-0.10
1,8.16,-0.95,5.79,-0.12,0.03,-0.14
1,7.82,-1.02,5.71,-0.14,0.01,"-0.13"
1,7.65,-1.07,5.89,-0.18,0.05,-0.09
1,7.30,-0.76,6.35,-0.10,-0.07,-0.01
1,6.33,0.02,8.27,0.15,-0.48,0.07
1,7.29,1.55,9.76,0.62,-0.85,0.01
1,10.53,1.64,9.18,1.09,0.15,"-0.03"
1,8.73,1.31,9.63,0.72,1.09,"-0.63"
1,5.97,0.36,9.76,1.48,0.18,-0.36
1,5.41,-0.63,9.62,2.09,-0.15,0.12
1,8.56,-4.01,10.30,2.51,0.64,0.85
1,7.02,-6.16,11.36,2.72,0.61,1.48
1,8.07,-9.08,12.17,3.13,1.01,1.81
1,8.12,-12.14,12.16,3.76,0.82,"2.24"
1,9.41,-14.02,11.71,3.99,1.42,2.27
1,8.99,-17.61,10.69,4.02,1.58,"2.93"
1,9.84,-22.00,4.87,4.55,0.96,3.62
1,17.88,-20.68,-6.00,4.12,1.22,3.50
1,21.50,-14.28,-11.69,3.44,3.16,3.77
1,17.02,-0.64,-10.85,3.38,2.46,3.37
1,23.96,3.75,-9.40,1.69,0.82,2.73
1,20.52,4.53,-6.03,0.30,-0.52,0.73
1,15.31,3.23,0.27,-0.95,-0.23,-0.40
1,9.83,0.61,6.11,-1.00,-0.17,-0.67
1,6.55,-0.04,7.13,-0.54,-0.38,-0.48
1,6.75,-0.35,6.77,-0.37,0.10,-0.25
1,6.73,-0.08,5.81,-0.37,0.07,-0.02
1,8.04,-0.61,5.27,-0.39,0.34,"0.17"
1,8.34,-0.15,5.46,-0.26,-0.03,"0.13"
1,9.09,0.29,5.34,-0.35,-0.07,0.02
1,8.66,0.14,5.72,-0.61,0.13,"-0.08"
1,8.11,-0.25,6.20,-0.51,0.10,-0.17
1,7.96,-0.46,5.77,-0.45,-0.08,-0.15
1,8.68,-0.53,5.84,-0.52,0.08,-0.17
1,8.25,-0.66,5.92,-0.54,-0.00,-0.23
1,8.57,-0.46,6.10,-0.51,-0.08,-0.33
1,7.98,-0.54,6.17,-0.45,-0.03,-0.33
1,7.88,-0.86,6.31,-0.43,-0.01,-0.29
1,7.91,-0.61,6.47,-0.36,-0.03,-0.26
1,7.62,-0.88,6.38,-0.24,-0.08,-0.21
1,8.08,-0.70,5.96,-0.20,-0.05,-0.18
1,7.72,-0.79,6.00,-0.24,0.05,-0.13
1,7.73,-0.64,6.04,-0.15,-0.03,-0.06
1,8.28,-0.78,6.07,-0.14,0.02,"-0.03"
1,8.02,-0.43,6.03,-0.17,0.13,-0.04
1,8.08,-0.81,6.22,-0.17,0.18,-0.01
1,8.02,-0.63,6.10,0.01,0.04,"-0.03"
1,8.09,-0.57,5.69,-0.02,0.05,"-0.06"
